Task ID,Occupation (O*NET-SOC Title),Task,Automation Desire Rating,Human Agency Scale Rating,Automation Capacity Rating,Agent_Feasibility_Score
1287,Computer User Support Specialists,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",4.5,2.83,4.67,4.58
14698,Web Developers,Back up files from Web sites to local directories for instant recovery in case of problems.,4.2,2.0,4.67,4.44
15206,Network and Computer Systems Administrators,"Configure, monitor, and maintain email applications or virus protection software.",3.88,2.12,5.0,4.44
1321,Network and Computer Systems Administrators,"Perform routine network startup and shutdown procedures, and maintain control records.",4.17,2.0,4.67,4.42
14731,Web Administrators,Back up or modify applications and related data to provide for disaster recovery.,4.2,1.6,4.5,4.35
14762,Web Administrators,Set up or maintain monitoring tools on Web servers or Web sites.,4.0,2.6,4.5,4.25
14743,Web Administrators,"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",4.0,2.2,4.5,4.25
1275,Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",3.4,2.6,5.0,4.2
14648,Software Quality Assurance Analysts and Testers,Document test procedures to ensure replicability and compliance with standards.,3.4,3.2,5.0,4.2
14713,Web Developers,"Respond to user email inquiries, or set up automated systems to send responses.",3.3,2.9,5.0,4.15
14740,Web Administrators,"Implement updates, upgrades, and patches in a timely manner to limit loss of service.",3.6,2.2,4.67,4.14
1269,Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",3.62,2.25,4.67,4.14
14644,Software Quality Assurance Analysts and Testers,Create or maintain databases of known test defects.,3.25,2.75,5.0,4.12
14750,Web Administrators,"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",3.75,2.75,4.5,4.12
14655,Software Quality Assurance Analysts and Testers,"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",3.25,3.0,5.0,4.12
14650,Software Quality Assurance Analysts and Testers,Update automated test scripts to ensure currency.,3.67,3.0,4.5,4.08
14625,Computer and Information Research Scientists,Evaluate project plans and proposals to assess feasibility issues.,4.1,3.3,4.0,4.05
18993,Computer Network Support Specialists,Document network support activities.,3.5,2.25,4.5,4.0
14749,Web Administrators,"Track, compile, and analyze Web site usage data.",3.5,2.25,4.5,4.0
18989,Computer Network Support Specialists,"Analyze network data to determine network usage, disk space availability, or server function.",3.33,2.0,4.67,4.0
14643,Software Quality Assurance Analysts and Testers,Monitor bug resolution efforts and track successes.,4.0,2.5,4.0,4.0
1320,Network and Computer Systems Administrators,Operate master consoles to monitor the performance of computer systems and networks and to coordinate computer network access and use.,3.5,2.5,4.5,4.0
1276,Computer Programmers,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",3.0,2.38,5.0,4.0
14710,Web Developers,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",3.3,2.9,4.67,3.98
11406,Data Entry Keyers,Maintain logs of activities and completed work.,4.25,2.0,3.67,3.96
14722,Web Developers,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",2.8,3.1,5.0,3.9
14733,Web Administrators,"Review or update Web page content or links in a timely manner, using appropriate tools.",3.29,2.86,4.5,3.9
1285,Computer User Support Specialists,Oversee the daily performance of computer systems.,2.75,2.88,5.0,3.88
3478,Computer Systems Analysts,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",3.22,3.0,4.5,3.86
11401,Data Entry Keyers,"Read source documents such as canceled checks, sales reports, or bills, and enter data in specific data fields or onto tapes or disks for subsequent entry, using keyboards or scanners.",4.0,3.2,3.67,3.84
1329,Network and Computer Systems Administrators,Analyze equipment performance records to determine the need for repair or replacement.,3.67,3.17,4.0,3.84
14717,Web Developers,Establish appropriate server directory trees.,3.3,2.9,4.33,3.82
1270,Computer Programmers,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",3.11,2.67,4.5,3.8
14686,Computer Systems Engineers/Architects,"Research, test, or verify proper functioning of software patches and fixes.",3.57,2.71,4.0,3.78
14707,Web Developers,Write supporting code for Web applications or Web sites.,2.9,3.4,4.67,3.78
11403,Data Entry Keyers,"Compare data with source documents, or re-enter data in verification format to detect errors.",3.5,2.67,4.0,3.75
14734,Web Administrators,"Monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",3.8,2.6,3.67,3.74
19010,Computer Network Support Specialists,Provide telephone support related to networking or connectivity issues.,3.8,2.0,3.67,3.74
19004,Computer Network Support Specialists,Back up network data.,2.83,2.0,4.5,3.66
11404,Data Entry Keyers,Store completed documents in appropriate locations.,4.33,2.0,3.0,3.66
1282,Computer User Support Specialists,Answer user inquiries regarding computer software or hardware operation to resolve problems.,2.8,2.8,4.5,3.65
14758,Web Administrators,"Correct testing-identified problems, or recommend actions for their resolution.",3.29,3.0,4.0,3.64
11405,Data Entry Keyers,"Locate and correct data entry errors, or report them to supervisors.",3.25,2.75,4.0,3.62
1300,Database Administrators,"Test programs or databases, correct errors, and make necessary modifications.",3.25,2.62,4.0,3.62
14654,Software Quality Assurance Analysts and Testers,Monitor program performance to ensure efficient and problem-free operations.,3.75,3.25,3.5,3.62
3480,Computer Systems Analysts,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",2.7,2.7,4.5,3.6
14638,Software Quality Assurance Analysts and Testers,"Design test plans, scenarios, scripts, or procedures.",3.83,3.0,3.33,3.58
14732,Web Administrators,"Determine sources of Web page or server problems, and take action to correct such problems.",3.17,2.83,4.0,3.58
14719,Web Developers,Recommend and implement performance improvements.,3.1,2.7,4.0,3.55
14700,Web Developers,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",3.0,3.8,4.0,3.5
14645,Software Quality Assurance Analysts and Testers,Plan test schedules or strategies in accordance with project scope or delivery dates.,3.0,3.33,4.0,3.5
14675,Computer Systems Engineers/Architects,Monitor system operation to detect potential problems.,4.0,2.5,3.0,3.5
18991,Computer Network Support Specialists,Configure security settings or access permissions for groups or individuals.,2.33,2.67,4.67,3.5
11402,Data Entry Keyers,"Compile, sort, and verify the accuracy of data before it is entered.",3.0,2.88,4.0,3.5
1325,Network and Computer Systems Administrators,Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,3.67,2.56,3.33,3.5
16280,Clinical Data Managers,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",4.0,2.83,3.0,3.5
1283,Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.,2.29,2.86,4.67,3.48
14639,Software Quality Assurance Analysts and Testers,Test system modifications to prepare for implementation.,3.25,3.5,3.67,3.46
5322,Information Security Analysts,"Document computer security and emergency measures policies, procedures, and tests.",3.4,2.4,3.5,3.45
1322,Network and Computer Systems Administrators,"Design, configure, and test computer hardware, networking software and operating system software.",3.4,2.8,3.5,3.45
16277,Clinical Data Managers,"Prepare data analysis listings and activity, performance, or progress reports.",3.38,3.5,3.5,3.44
14647,Software Quality Assurance Analysts and Testers,"Review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",2.33,3.33,4.5,3.42
14687,Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",3.5,2.62,3.33,3.42
3466,Computer Systems Analysts,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",2.8,3.1,4.0,3.4
1274,Computer Programmers,Write or contribute to instructions or manuals to guide end users.,2.8,2.4,4.0,3.4
5319,Information Security Analysts,Monitor use of data files and regulate access to safeguard information in computer files.,3.7,2.7,3.0,3.35
14624,Computer and Information Research Scientists,Assign or schedule tasks to meet work priorities and goals.,3.7,3.3,3.0,3.35
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,3.18,2.55,3.5,3.34
21049,Computer Programmers,Develop Web sites.,2.67,3.0,4.0,3.34
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,3.67,3.22,3.0,3.34
14636,Computer and Information Research Scientists,"Approve, prepare, monitor, and adjust operational budgets.",4.17,3.5,2.5,3.34
1288,Computer User Support Specialists,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",3.0,2.7,3.67,3.34
1299,Database Administrators,Modify existing databases and database management systems or direct programmers and analysts to make changes.,2.17,2.33,4.5,3.34
14641,Software Quality Assurance Analysts and Testers,"Document software defects, using a bug tracking system, and report defects to software developers.",2.67,3.17,4.0,3.34
14672,Computer Systems Engineers/Architects,Provide technical guidance or support for the development or troubleshooting of systems.,3.33,3.0,3.33,3.33
1273,Computer Programmers,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",3.1,3.2,3.5,3.3
14714,Web Developers,Develop or implement procedures for ongoing Web site revision.,2.6,2.7,4.0,3.3
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",3.6,2.8,3.0,3.3
1314,Database Administrators,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.",2.57,2.86,4.0,3.28
16284,Clinical Data Managers,"Process clinical data, including receipt, entry, verification, or filing of information.",3.57,2.71,3.0,3.28
14658,Software Quality Assurance Analysts and Testers,"Identify program deviance from standards, and suggest modifications to ensure compliance.",3.0,2.75,3.5,3.25
1305,Database Administrators,Specify users and user access levels for each segment of database.,2.5,2.33,4.0,3.25
966,Computer and Information Systems Managers,"Manage backup, security and user help systems.",3.0,2.8,3.5,3.25
14652,Software Quality Assurance Analysts and Testers,"Install, maintain, or use software testing programs.",3.5,3.67,3.0,3.25
16279,Clinical Data Managers,Monitor work productivity or quality to ensure compliance with standard operating procedures.,3.4,2.8,3.0,3.2
14694,Web Developers,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",2.9,3.6,3.5,3.2
5316,Information Security Analysts,Monitor current reports of computer viruses to determine when to update virus protection systems.,3.38,2.5,3.0,3.19
14633,Computer and Information Research Scientists,Design computers and the software that runs them.,3.67,3.22,2.67,3.17
14670,Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,3.0,3.0,3.33,3.16
14723,Web Developers,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,2.9,2.8,3.33,3.12
20950,Computer Systems Analysts,Troubleshoot program and system malfunctions to restore normal functioning.,2.55,3.09,3.67,3.11
14649,Software Quality Assurance Analysts and Testers,"Develop or specify standards, methods, or procedures to determine product quality or release readiness.",3.17,3.17,3.0,3.08
1313,Database Administrators,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",1.67,2.67,4.5,3.08
16274,Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",3.67,2.67,2.5,3.08
14623,Computer and Information Research Scientists,Analyze problems to develop solutions involving computer hardware and software.,3.78,3.56,2.33,3.06
1277,Computer Programmers,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,2.62,2.88,3.5,3.06
5317,Information Security Analysts,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",2.62,3.38,3.5,3.06
14683,Computer Systems Engineers/Architects,Design and conduct hardware or software tests.,3.6,3.0,2.5,3.05
14695,Web Developers,Perform or direct Web site updates.,2.4,2.8,3.67,3.04
1323,Network and Computer Systems Administrators,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",3.33,3.33,2.67,3.0
16270,Clinical Data Managers,Develop technical specifications for data management programming and communicate needs to information technology staff.,3.5,3.67,2.5,3.0
14653,Software Quality Assurance Analysts and Testers,Provide feedback and recommendations to developers on software usability and functionality.,3.0,3.62,3.0,3.0
1267,Computer Programmers,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,3.0,2.4,3.0,3.0
1318,Network and Computer Systems Administrators,"Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.",3.5,2.5,2.5,3.0
14640,Software Quality Assurance Analysts and Testers,"Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.",3.0,3.33,3.0,3.0
14642,Software Quality Assurance Analysts and Testers,"Identify, analyze, and document problems with program function, output, online screen, or content.",3.0,3.4,3.0,3.0
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",3.57,2.86,2.33,2.95
19003,Computer Network Support Specialists,Analyze and report computer network security breaches or attempted breaches.,2.5,3.0,3.33,2.92
970,Computer and Information Systems Managers,Stay abreast of advances in technology.,3.3,2.3,2.5,2.9
1319,Network and Computer Systems Administrators,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",3.71,3.0,2.0,2.86
974,Computer and Information Systems Managers,Control operational budget and expenditures.,3.7,3.4,2.0,2.85
3474,Computer Systems Analysts,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",2.7,2.7,3.0,2.85
1292,Computer User Support Specialists,"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",2.62,3.38,3.0,2.81
14671,Computer Systems Engineers/Architects,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",2.6,3.6,3.0,2.8
979,Computer and Information Systems Managers,Evaluate data processing proposals to assess project feasibility and requirements.,3.6,3.0,2.0,2.8
3484,Computer Systems Analysts,Specify inputs accessed by the system and plan the distribution and use of the results.,2.22,2.67,3.33,2.78
14673,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",2.5,2.83,3.0,2.75
1272,Computer Programmers,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",2.5,2.75,3.0,2.75
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",3.5,2.4,2.0,2.75
1290,Computer User Support Specialists,"Develop training materials and procedures, or train users in the proper use of hardware or software.",3.0,3.0,2.33,2.66
19011,Computer Network Support Specialists,Research hardware or software products to meet technical networking or security needs.,2.0,1.67,3.33,2.66
3465,Computer Systems Analysts,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",2.3,3.2,3.0,2.65
14744,Web Administrators,"Gather, analyze, or document user feedback to locate or resolve sources of problems.",2.6,3.4,2.67,2.64
1317,Network and Computer Systems Administrators,Perform data backups and disaster recovery operations.,3.75,2.62,1.5,2.62
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,3.2,3.0,2.0,2.6
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,2.7,2.8,2.5,2.6
14708,Web Developers,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,3.2,3.1,2.0,2.6
3482,Computer Systems Analysts,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",2.4,3.1,2.67,2.54
5314,Information Security Analysts,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",2.67,3.22,2.33,2.5
14626,Computer and Information Research Scientists,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",3.33,3.44,1.67,2.5
19002,Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,2.43,3.14,2.5,2.46
14681,Computer Systems Engineers/Architects,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",2.0,2.67,2.67,2.34
1279,Computer Programmers,"Assign, coordinate, and review work and activities of programming personnel.",2.33,2.56,2.33,2.33
1301,Database Administrators,"Plan, coordinate, and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",2.33,2.67,2.33,2.33
3470,Computer Systems Analysts,Expand or modify system to serve new purposes or improve work flow.,2.55,3.0,2.0,2.28
18992,Computer Network Support Specialists,Configure wide area network (WAN) or local area network (LAN) routers or related equipment.,2.0,2.4,2.0,2.0
